x,y,amenity,classification,key_value,category
77.1037651,28.6740388,restaurant,activity,{'amenity': 'restaurant'},commercial
77.0778122,28.5937773,fuel,activity,{'amenity': 'fuel'},commercial
77.0895469,28.6562179,fuel,activity,{'amenity': 'fuel'},commercial
77.1212195,28.5927488,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.122304,28.5925928,school,activity,{'amenity': 'school'},commercial
77.1214128,28.5930882,,activity,{'shop': 'dry_cleaning'},commercial
77.0934463,28.636867,atm,activity,{'amenity': 'atm'},commercial
77.0965516,28.636705,atm,activity,{'amenity': 'atm'},commercial
77.0973217,28.6365657,atm,activity,{'amenity': 'atm'},commercial
77.1067165,28.640747,fuel,activity,{'amenity': 'fuel'},commercial
77.2107627,28.6405551,pub,activity,{'amenity': 'pub'},commercial
77.2070915,28.6460886,atm,activity,{'amenity': 'atm'},commercial
77.2359806,28.6573574,marketplace,activity,{'amenity': 'marketplace'},commercial
77.2354195,28.6567331,,activity,{'shop': 'electronics'},commercial
77.2359416,28.656915,,activity,{'shop': 'electronics'},commercial
77.2359053,28.6570993,,activity,{'shop': 'electronics'},commercial
77.2359371,28.6567874,,activity,{'shop': 'electronics'},commercial
77.2310778,28.5904386,,activity,{'shop': 'supermarket'},commercial
77.1366732,28.6082403,hospital,activity,{'amenity': 'hospital'},commercial
76.9877135,28.6114104,school,activity,{'amenity': 'school'},commercial
77.1682199,28.5097857,,activity,{'shop': 'stationery'},commercial
77.1682199,28.5100526,,activity,{'shop': 'car_repair'},commercial
77.1647429,28.5091912,,activity,{'shop': 'hairdresser'},commercial
77.1646775,28.509265,,activity,{'shop': 'convenience'},commercial
77.1684166,28.5099125,,activity,{'shop': 'alcohol'},commercial
77.1682199,28.5099957,atm,activity,"{'amenity': 'atm', 'shop': 'dry_cleaning'}",commercial
77.169107,28.5886176,,activity,{'shop': 'outdoor'},commercial
77.1682149,28.5098513,atm,activity,{'amenity': 'atm'},commercial
77.1671189,28.509134,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.037474,28.5910461,fuel,activity,{'amenity': 'fuel'},commercial
77.0552344,28.5790955,fuel,activity,{'amenity': 'fuel'},commercial
77.0292092,28.5963204,fuel,activity,{'amenity': 'fuel'},commercial
77.0668071,28.5436162,fuel,activity,{'amenity': 'fuel'},commercial
77.1216961,28.6272836,fuel,activity,{'amenity': 'fuel'},commercial
77.0639396,28.5733376,fuel,activity,{'amenity': 'fuel'},commercial
