x,y,amenity,classification,key_value,category,spatial_cluster
77.2117158,28.5368839,restaurant,activity,{'amenity': 'restaurant'},commercial,5
77.20173620000001,28.540542600000002,,activity,{'leisure': 'pitch'},commercial,5
77.20204509999999,28.540437100000005,,activity,{'leisure': 'pitch'},commercial,5
77.2021739,28.5407311,,activity,{'leisure': 'pitch'},commercial,5
77.2018735,28.539027100000002,,activity,{'shop': 'convenience'},commercial,5
77.1847626,28.5403687,atm,activity,{'amenity': 'atm'},commercial,13
77.2171793,28.5684348,atm,activity,{'amenity': 'atm'},commercial,9
77.2186625,28.568365399999998,atm,activity,{'amenity': 'atm'},commercial,9
77.2360764,28.655458399999997,veterinary,activity,{'amenity': 'veterinary'},commercial,4
77.1909497,28.564000099999998,school,activity,{'amenity': 'school'},commercial,7
77.10376509999999,28.674038800000005,restaurant,activity,{'amenity': 'restaurant'},commercial,14
77.0778122,28.5937773,fuel,activity,{'amenity': 'fuel'},commercial,15
77.0895469,28.6562179,fuel,activity,{'amenity': 'fuel'},commercial,-1
77.1212195,28.592748800000003,pharmacy,activity,{'amenity': 'pharmacy'},commercial,16
77.122304,28.592592800000002,school,activity,{'amenity': 'school'},commercial,16
77.1214128,28.593088199999997,,activity,{'shop': 'dry_cleaning'},commercial,16
77.0934463,28.636867,atm,activity,{'amenity': 'atm'},commercial,17
77.0965516,28.636705,atm,activity,{'amenity': 'atm'},commercial,17
77.09732170000001,28.636565700000002,atm,activity,{'amenity': 'atm'},commercial,17
77.1067165,28.640746999999998,fuel,activity,{'amenity': 'fuel'},commercial,18
77.2107627,28.640555100000004,pub,activity,{'amenity': 'pub'},commercial,4
77.2070915,28.6460886,atm,activity,{'amenity': 'atm'},commercial,4
77.2359806,28.657357399999995,marketplace,activity,{'amenity': 'marketplace'},commercial,4
77.23541949999999,28.6567331,,activity,{'shop': 'electronics'},commercial,4
77.2359416,28.656915,,activity,{'shop': 'electronics'},commercial,4
77.2359053,28.657099300000002,,activity,{'shop': 'electronics'},commercial,4
77.23593709999999,28.656787400000002,,activity,{'shop': 'electronics'},commercial,4
77.2310778,28.5904386,,activity,{'shop': 'supermarket'},commercial,6
77.1366732,28.6082403,hospital,activity,{'amenity': 'hospital'},commercial,-1
76.9877135,28.6114104,school,activity,{'amenity': 'school'},commercial,19
77.1682199,28.509785700000002,,activity,{'shop': 'stationery'},commercial,1
77.1682199,28.5100526,,activity,{'shop': 'car_repair'},commercial,1
77.16474290000001,28.5091912,,activity,{'shop': 'hairdresser'},commercial,1
77.1646775,28.509265000000003,,activity,{'shop': 'convenience'},commercial,1
77.1684166,28.5099125,,activity,{'shop': 'alcohol'},commercial,1
77.1682199,28.5099957,atm,activity,"{'amenity': 'atm', 'shop': 'dry_cleaning'}",commercial,1
77.169107,28.588617600000003,,activity,{'shop': 'outdoor'},commercial,7
77.16821490000001,28.509851300000005,atm,activity,{'amenity': 'atm'},commercial,1
77.1671189,28.509134000000003,pharmacy,activity,{'amenity': 'pharmacy'},commercial,1
77.037474,28.5910461,fuel,activity,{'amenity': 'fuel'},commercial,-1
77.0552344,28.5790955,fuel,activity,{'amenity': 'fuel'},commercial,-1
77.02920920000001,28.596320399999996,fuel,activity,{'amenity': 'fuel'},commercial,-1
77.0668071,28.543616200000002,fuel,activity,{'amenity': 'fuel'},commercial,-1
77.1216961,28.627283600000002,fuel,activity,{'amenity': 'fuel'},commercial,-1
77.0639396,28.5733376,fuel,activity,{'amenity': 'fuel'},commercial,20
77.0822696,28.5209438,fuel,activity,{'amenity': 'fuel'},commercial,-1
77.06469179999999,28.5977207,fuel,activity,{'amenity': 'fuel'},commercial,-1
77.2059863,28.520364100000002,atm,activity,{'amenity': 'atm'},commercial,5
77.20711990000001,28.5232994,atm,activity,{'amenity': 'atm'},commercial,5
77.2071344,28.523747399999998,cinema,activity,{'amenity': 'cinema'},commercial,5
77.3089374,28.6331429,hospital,activity,{'amenity': 'hospital'},commercial,21
77.0352125,28.7981223,pharmacy,activity,{'amenity': 'pharmacy'},commercial,22
77.0352715,28.7983668,hospital,activity,{'amenity': 'hospital'},commercial,22
77.0354003,28.798009499999996,hospital,activity,{'amenity': 'hospital'},commercial,22
77.03537879999999,28.800698399999998,hospital,activity,{'amenity': 'hospital'},commercial,22
77.0343328,28.797934299999998,pharmacy,activity,{'amenity': 'pharmacy'},commercial,22
77.0355129,28.8003599,pharmacy,activity,{'amenity': 'pharmacy'},commercial,22
